,ADANIPORTS_Volume,ADANIPORTS_Close,ASIANPAINT_Volume,ASIANPAINT_Close,AXISBANK_Volume,AXISBANK_Close,BAJFINANCE_Volume,BAJFINANCE_Close,BAJAJFINSV_Volume,BAJAJFINSV_Close,BHARTIARTL_Volume,BHARTIARTL_Close,INFRATEL_Volume,INFRATEL_Close,BPCL_Volume,BPCL_Close,BRITANNIA_Volume,BRITANNIA_Close,CIPLA_Volume,CIPLA_Close,COALINDIA_Volume,COALINDIA_Close,DRREDDY_Volume,DRREDDY_Close,EICHERMOT_Volume,EICHERMOT_Close,GAIL_Volume,GAIL_Close,GRASIM_Volume,GRASIM_Close,HCLTECH_Volume,HCLTECH_Close,HDFC_Volume,HDFC_Close,HDFCBANK_Volume,HDFCBANK_Close,HEROMOTOCO_Volume,HEROMOTOCO_Close,HINDALCO_Volume,HINDALCO_Close,HINDUNILVR_Volume,HINDUNILVR_Close,ICICIBANK_Volume,ICICIBANK_Close,INDUSINDBK_Volume,INDUSINDBK_Close,INFY_Volume,INFY_Close,IOC_Volume,IOC_Close,ITC_Volume,ITC_Close,JSWSTEEL_Volume,JSWSTEEL_Close,KOTAKBANK_Volume,KOTAKBANK_Close,LT_Volume,LT_Close,MARUTI_Volume,MARUTI_Close,NESTLEIND_Volume,NESTLEIND_Close,NTPC_Volume,NTPC_Close,ONGC_Volume,ONGC_Close,POWERGRID_Volume,POWERGRID_Close,RELIANCE_Volume,RELIANCE_Close,SHREECEM_Volume,SHREECEM_Close,SBIN_Volume,SBIN_Close,SUNPHARMA_Volume,SUNPHARMA_Close,TCS_Volume,TCS_Close,TATAMOTORS_Volume,TATAMOTORS_Close,TATASTEEL_Volume,TATASTEEL_Close,TECHM_Volume,TECHM_Close,TITAN_Volume,TITAN_Close,ULTRACEMCO_Volume,ULTRACEMCO_Close,WIPRO_Volume,WIPRO_Close,ZEEL_Volume,ZEEL_Close,BAJAJ_AUTO_Volume,BAJAJ_AUTO_Close,MM_Volume,MM_Close,NIFTY_50_Volume,NIFTY_50_Close,Label
1235,5418727.0,400.8,421268.0,1160.3,5770768.0,546.8,495585.0,1809.75,105469.0,5206.2,9091201.0,503.25,1649408.0,369.6,4044509.0,511.5,150773.0,4816.9,2222545.0,616.1,2880586.0,273.8,2392882.0,2394.15,25881.0,30420.55,5819082.0,459.95,639414.0,1168.65,1493571.0,837.7,3626597.0,1694.5,568883.0,1846.25,202939.0,3678.75,3610061.0,261.45,828746.0,1277.35,13102056.0,319.9,1109357.0,1648.6,2682328.0,966.25,2671538.0,396.15,16626216.0,255.8,1814757.0,268.85,2439933.0,1029.85,2192795.0,1222.65,255180.0,8424.8,20423.0,7744.35,10797094.0,182.95,5170506.0,180.9,8773164.0,206.6,5980763.0,932.55,53866.0,17003.65,14189920.0,330.65,4294740.0,535.25,763870.0,2672.95,6745407.0,424.25,3657310.0,711.35,2242785.0,493.85,4969028.0,815.45,296266.0,4163.4,2060394.0,294.0,905931.0,540.25,218921.0,3300.25,853763.0,1416.0,191859084.0,10326.9,0
1236,5170814.0,414.5,731572.0,1174.3,4536211.0,540.5,738204.0,1773.95,104244.0,5176.35,3263924.0,499.1,1199421.0,367.5,2000237.0,507.7,121364.0,4775.15,2014698.0,619.25,1531611.0,271.8,536873.0,2360.65,15266.0,30178.2,3163311.0,469.05,1171745.0,1194.2,1134718.0,842.15,3096864.0,1718.15,1415199.0,1855.25,293485.0,3661.3,4497727.0,257.75,646368.0,1270.45,9342622.0,318.9,751919.0,1627.35,3042460.0,966.3,4103726.0,396.0,8609960.0,258.15,1320466.0,268.55,1545476.0,1026.25,2266995.0,1222.7,383442.0,8513.15,55610.0,7606.4,5999928.0,181.85,3217008.0,181.3,4874067.0,207.05,5055490.0,930.75,51243.0,17099.2,22861716.0,335.3,3972361.0,544.75,911312.0,2680.65,7899417.0,428.6,2272083.0,711.05,1932859.0,482.6,4216518.0,813.15,205993.0,4230.4,1271922.0,294.3,5021437.0,562.05,304485.0,3313.2,1439617.0,1429.5,162504058.0,10342.3,0
1237,3903036.0,407.1,482632.0,1159.6,10724159.0,544.15,587412.0,1763.65,81941.0,5133.6,5334161.0,496.35,4295438.0,368.15,3451343.0,505.15,71530.0,4782.35,792383.0,617.6,1490892.0,270.45,686743.0,2306.25,34191.0,30619.95,1756582.0,462.9,621927.0,1209.45,1166224.0,853.7,1891748.0,1704.6,808145.0,1842.85,219012.0,3677.35,9682203.0,255.25,891839.0,1267.5,9998609.0,319.45,887882.0,1643.35,5947309.0,991.25,1511490.0,394.75,7524346.0,258.15,2649055.0,266.85,1233925.0,1022.1,1654930.0,1215.95,289808.0,8463.4,28130.0,7604.75,5261591.0,180.4,3511238.0,181.7,3839018.0,209.05,7329126.0,947.0,22728.0,17210.95,13338423.0,334.95,4099139.0,549.5,396735.0,2681.25,7374216.0,426.25,3683121.0,712.7,1200242.0,489.6,1689989.0,805.9,273052.0,4185.15,676444.0,293.55,2726742.0,565.1,149829.0,3264.65,490011.0,1418.65,157651842.0,10348.75,0
1238,1374660.0,404.6,406704.0,1159.6,3947490.0,545.5,572947.0,1790.0,67352.0,5160.6,3514919.0,496.8,4216334.0,378.75,1761995.0,511.0,145893.0,4742.0,1118354.0,615.7,876297.0,271.5,346100.0,2295.05,26528.0,30812.35,2931356.0,471.05,535949.0,1201.6,823378.0,858.4,1269395.0,1711.05,1300921.0,1851.4,388730.0,3653.25,6186665.0,251.65,971523.0,1265.95,7867381.0,317.2,1091064.0,1676.3,9309956.0,1009.55,2781607.0,395.4,7347756.0,260.75,1325725.0,265.2,1176564.0,1030.35,1637839.0,1218.5,343432.0,8487.95,55095.0,7502.25,4154980.0,180.3,2358579.0,181.0,4350777.0,211.2,6394443.0,951.1,25474.0,17090.75,11716981.0,332.4,3833249.0,551.55,1143756.0,2688.05,5108182.0,425.5,1925192.0,708.45,1701291.0,494.1,2744733.0,829.3,277735.0,4241.3,1608493.0,292.7,1803843.0,564.15,336075.0,3288.3,966558.0,1434.1,133177324.0,10389.7,0
1239,2993007.0,399.5,373156.0,1156.5,9301318.0,559.4,573099.0,1773.25,95340.0,5151.85,3154345.0,498.0,1788442.0,369.95,2732306.0,508.45,194320.0,4796.9,1388114.0,614.8,887044.0,271.65,246222.0,2294.8,33595.0,30755.7,2316438.0,467.45,686091.0,1194.7,796370.0,860.7,1160941.0,1711.0,967618.0,1857.55,172252.0,3663.0,7592581.0,249.65,763155.0,1260.3,9334428.0,317.0,746259.0,1660.6,3008865.0,998.75,2050805.0,392.6,4836535.0,259.25,3340622.0,258.9,970817.0,1036.45,1464649.0,1224.75,172254.0,8508.6,25418.0,7494.25,10199577.0,186.35,6930971.0,184.05,8331302.0,210.15,4680074.0,951.35,13848.0,17126.3,13114683.0,335.65,2493500.0,543.15,928393.0,2685.85,7946028.0,421.4,1865394.0,702.55,1469508.0,498.75,3544024.0,832.6,225700.0,4272.0,1048839.0,294.8,2017820.0,575.25,208372.0,3271.4,867582.0,1431.0,146276512.0,10399.55,0
1240,6013556.0,396.95,445227.0,1171.0,10113136.0,562.55,552962.0,1766.4,153601.0,5240.2,3016416.0,492.0,4093118.0,378.8,4066465.0,507.6,151111.0,4794.7,1486189.0,611.8,7236470.0,274.35,307103.0,2290.9,19288.0,30536.55,3523412.0,462.5,651148.0,1175.55,1054325.0,859.25,2024236.0,1725.5,1272635.0,1865.35,155386.0,3673.6,4692698.0,250.65,975006.0,1267.85,13929413.0,313.2,1333326.0,1678.25,2308434.0,984.7,3853052.0,390.6,17508901.0,257.0,3948068.0,255.65,734677.0,1029.85,4940494.0,1211.7,456041.0,8624.15,46999.0,7497.8,17909103.0,182.8,10710188.0,181.25,12120115.0,208.35,4641893.0,943.35,7967.0,17056.35,16054996.0,332.0,2174433.0,547.1,455858.0,2685.3,6217480.0,415.95,2544179.0,703.85,2334856.0,499.7,1748906.0,818.1,165542.0,4275.9,1503548.0,294.85,4481588.0,586.65,231860.0,3289.15,743580.0,1435.0,202050866.0,10370.25,0
1241,5205458.0,403.45,516698.0,1153.85,6387037.0,549.5,687118.0,1756.3,161851.0,5305.6,5315769.0,495.75,2009516.0,378.65,2759777.0,507.8,152996.0,4811.15,1465289.0,607.9,5209745.0,276.3,575033.0,2276.8,37733.0,30220.25,2049999.0,462.15,683044.0,1182.45,761835.0,853.15,5140571.0,1704.15,818646.0,1873.3,172201.0,3656.3,5285364.0,246.9,819468.0,1276.15,12384876.0,314.85,1121016.0,1672.15,1919035.0,982.7,2681338.0,393.7,8697821.0,258.05,1852596.0,255.25,1414642.0,1026.25,2046078.0,1217.85,382984.0,8671.35,68922.0,7510.45,12336145.0,182.0,5407391.0,182.45,4120057.0,208.75,3674864.0,946.0,14047.0,17012.85,11264624.0,328.9,5950729.0,539.95,723766.0,2658.15,4327453.0,413.95,3056846.0,709.3,1438175.0,496.55,1660305.0,818.1,147547.0,4287.75,2525804.0,298.65,2850438.0,577.35,287207.0,3315.9,691787.0,1433.4,157192930.0,10361.3,0
1242,5552149.0,398.0,1433116.0,1146.75,19370807.0,535.4,1304556.0,1727.05,282218.0,5214.1,13410289.0,496.45,4247055.0,379.05,6083478.0,503.85,3134564.0,4815.6,1612910.0,600.9,7343947.0,275.8,1452047.0,2284.05,40563.0,29944.05,5701317.0,468.4,1476551.0,1169.9,3411303.0,848.0,6832920.0,1675.7,1449078.0,1853.7,456685.0,3633.65,14998374.0,240.45,2308732.0,1272.45,23832543.0,307.55,1743816.0,1661.95,8633472.0,976.1,14978098.0,393.5,22116235.0,256.05,4677214.0,254.85,2800528.0,1000.3,3419336.0,1216.55,582023.0,8599.1,97354.0,7663.5,17567715.0,181.15,9645385.0,180.65,10831836.0,206.05,9434893.0,921.55,18308.0,17197.45,27276288.0,320.35,3164938.0,525.95,2149981.0,2637.0,25646262.0,404.15,3990140.0,694.15,2729850.0,489.25,2808579.0,818.9,233153.0,4203.8,6849560.0,291.9,2197682.0,568.15,489763.0,3305.5,2683675.0,1406.55,353105240.0,10226.55,1
1243,1836997.0,386.75,397188.0,1133.75,7138045.0,533.85,601822.0,1711.6,98823.0,5098.85,5522454.0,484.15,1576172.0,372.6,1651505.0,496.4,165765.0,4805.95,747562.0,598.1,1987545.0,272.05,529288.0,2233.9,49501.0,29280.95,2366696.0,455.8,406155.0,1150.45,1384262.0,830.0,2269479.0,1658.8,964537.0,1848.2,222230.0,3604.05,7209250.0,235.35,470360.0,1250.5,6602231.0,305.25,901780.0,1661.1,2042500.0,958.8,2517124.0,387.85,6593537.0,255.2,3410360.0,252.05,2879595.0,1005.15,1772981.0,1211.65,436589.0,8609.0,41006.0,7696.45,4373192.0,181.3,3451636.0,179.65,4596793.0,202.95,5081389.0,910.1,23447.0,17197.75,16425620.0,312.75,3306680.0,520.75,515572.0,2629.95,7959197.0,398.9,3941877.0,680.9,1962459.0,472.9,1562677.0,805.25,144542.0,4184.95,1428280.0,289.4,1664018.0,556.8,438600.0,3216.9,1077343.0,1409.4,147765528.0,10121.8,1
1244,3650818.0,388.15,455769.0,1121.0,4181453.0,534.95,802041.0,1675.95,131794.0,5056.8,2740000.0,484.3,1754188.0,374.4,1562380.0,496.2,66290.0,4763.25,660077.0,596.7,2398989.0,265.9,295595.0,2242.4,38053.0,29403.7,2414033.0,463.15,805071.0,1136.0,896884.0,847.95,3197224.0,1680.4,910483.0,1834.1,131129.0,3601.4,6457124.0,239.55,833814.0,1268.6,8763567.0,304.25,863386.0,1650.1,8905803.0,985.35,2120792.0,390.55,6111791.0,255.1,1309523.0,251.85,2224349.0,997.95,1796642.0,1217.5,242191.0,8500.8,33738.0,7705.35,8651144.0,180.2,6347567.0,181.6,4007567.0,202.75,4618847.0,901.6,17293.0,16933.6,13887727.0,313.6,3479216.0,523.15,629552.0,2632.35,10043491.0,403.65,2322372.0,687.8,2507080.0,472.8,1291369.0,804.55,236418.0,4110.05,3296492.0,289.95,2158402.0,566.2,177911.0,3198.7,1462814.0,1401.0,153240126.0,10127.75,1
